Town,State,Population
Yakima,IN,248824
Gainesville,ND,174248
Hot Springs,IA,247985
Meridian,NJ,136794
Burlington,MA,207071
Hot Springs,VA,27184
Bend,CA,188649
Vicksburg,WA,122507
Cheyenne,NY,212305
Ithaca,ND,174176
Macon,GA,123132
Newnan,NY,28268
Medford,OH,42896
Newnan,AR,45195
Troy,WY,135372
Hendersonville,NH,112234
Springfield,OK,61093
Missoula,GA,66988
Sioux Falls,WI,163203
Vicksburg,MT,164246
Cedar Rapids,IL,34185
San Marcos,LA,168050
Savannah,NH,101981
Owensboro,IL,127071
Stillwater,IA,132090
Fort Collins,NJ,119234
Lubbock,MT,167867
Decatur,NV,167498
Clarksville,NH,90291
Auburn,NY,184320
Stillwater,TN,146353
Santa Fe,NJ,113494
Spokane Valley,ME,58034
Olympia,MN,132270
Lewiston,NC,113359
Lynchburg,NE,188657
Sumter,WV,189163
Burlington,NC,47326
Naperville,NC,165532
Spokane Valley,NH,107997
Lubbock,OK,32403
Rockford,WY,132307
Redding,AR,53328
Beaverton,CO,227553
Florence,IA,26106
Sierra Vista,CO,235950
Brookings,NE,209325
Logan,MN,134647
Ruston,OR,51637
Kennewick,WA,104252
Rapid City,TN,144314
Ruston,CA,55380
Peoria,MI,186269
Spokane Valley,KS,68619
Santa Fe,TN,145458
Rochester,LA,178127
Kennewick,SC,118726
Redding,OH,60679
Peoria,TN,88743
Holland,AR,231431
Waco,CO,208308
Wenatchee,TN,182319
Naperville,KY,130000
Redding,PA,195901
Ruston,NE,245295
San Marcos,NY,208948
Lynchburg,OH,245145
Lake Havasu,OK,150882
Macon,NM,128607
Sumter,HI,152786
Lafayette,AL,156567
Cedar Rapids,TN,123917
Vicksburg,AR,81739
Pocatello,NY,86063
Monroe,OR,57834
Santa Fe,MD,138167
Tyler,ME,90879
Conway,MT,201336
Paducah,IL,181957
Meridian,IA,215998
Casper,MI,31192
Wenatchee,MA,20101
Lubbock,AK,48875
St. Cloud,AZ,147246
Sumter,AL,233822
Medford,OH,172226
Muskegon,NH,219365
Missoula,NE,210639
Reno,IA,207102
Rochester,NE,204098
Juneau,NH,200879
Holland,AZ,28410
Lynchburg,AZ,62483
Juneau,VT,173502
Waipahu,NH,241127
Decatur,MA,108354
Tyler,IL,47675
Beaverton,MT,194997
Hattiesburg,IA,126614
Champaign,TX,105255
Lafayette,AZ,185232
Texarkana,SC,110654
Cedar Rapids,SC,213100
Naperville,NM,99462
Nampa,OR,248286
Lafayette,PA,118584
Florence,ME,74031
Coeur d'Alene,UT,231022
Lake Havasu,IA,105523
Valdosta,HI,56223
Tyler,AL,187751
Savannah,KY,43323
Conway,MN,208497
Salem,ME,231083
Kennewick,NH,210768
Clarksville,WA,147418
Santa Fe,MN,191627
Pensacola,MI,201530
Santa Fe,ME,163425
Meridian,SD,184384
Wenatchee,MN,122738
Sheboygan,KY,180520
Spokane Valley,AK,147632
Fort Collins,NY,26347
Hendersonville,VA,196187
Beaverton,MN,72422
Kalamazoo,IN,179870
Redding,LA,36761
Savannah,OK,198931
Juneau,AZ,241601
Cheyenne,AL,77739
Troy,NV,193854
Paducah,NE,156225
Valdosta,NC,76643
Savannah,WY,70392
Billings,KY,53232
Charlottesville,WV,51004
Normal,MI,135908
Midland,IL,203558
Tyler,CT,249800
Ruston,LA,60529
Midland,IA,60521
Laramie,MT,36196
Clarksville,AK,83711
Gainesville,VT,223592
Pierre,CO,163991
Reno,NY,98526
Monroe,AK,212922
Rockford,ID,50116
Tyler,MI,223525
Sioux Falls,AK,128577
Pierre,PA,59551
Conway,VA,85144
Coeur d'Alene,MO,156966
Flagstaff,AZ,115003
Rochester,NY,135340
Texarkana,MD,61241
Flagstaff,OH,121816
Ruston,NJ,104137
Waco,MT,40715
Fort Collins,TN,46847
Salem,KS,236390
Burlington,OH,96461
Grand Junction,MI,38803
Stevens Point,LA,25370
Rochester,ID,199899
Texarkana,AZ,244192
Macon,RI,189483
Hendersonville,AL,26323
San Marcos,DE,145297
Paducah,CT,146996
Fort Collins,RI,70816
Sumter,MD,147020
Lake Havasu,NJ,151372
Joplin,WY,72960
Dover,WV,188489
Yuma,CA,71030
Nampa,IN,90698
Vicksburg,DE,25635
Beaverton,ND,225800
Sheboygan,VT,184762
Bend,NV,197764
Casper,NV,92725
Valdosta,NV,49921
Eugene,MA,183553
Meridian,WA,65267
Fort Collins,AR,230520
Billings,MS,204224
St. Cloud,LA,211478
Brookings,CO,141136
Hendersonville,MN,175359
Sumter,NE,61010
Sheboygan,NM,245782
Muskegon,SC,189214
Tifton,FL,198415
Macon,AR,110735
Monroe,WY,115093
Rockford,AK,54140
Tupelo,WA,101474
St. Cloud,ND,51075
Rapid City,MI,157200
Wenatchee,ID,81138
Coeur d'Alene,NE,139486
Wenatchee,ID,69873
Dover,MI,244568
Greenville,ND,222023
Burlington,ME,72212
Texarkana,IL,30120
Sheboygan,MO,65934
Lake Havasu,MA,31603
Muskegon,AZ,100865
Roanoke,AK,45029
Gainesville,NH,29196
Knoxville,CO,129894
Sheboygan,CO,55455
Tyler,TX,40660
Springfield,ME,157801
Lynchburg,MA,48943
Peoria,NH,219455
Pensacola,VA,58908
Normal,MD,87216
Gainesville,KS,193550
Salem,IL,185513
Peoria,WA,176995
Sumter,CO,248478
Stevens Point,CT,199900
Tifton,ID,245701
Holland,OK,67684
Nampa,DE,247942
Savannah,NV,99470
Kennewick,KS,135333
Nampa,ID,196142
Pensacola,NV,182237
Tyler,ND,138184
Fargo,NM,241107
Salem,NH,141643
Spartanburg,AK,86748
Bismarck,NE,183235
Florence,ME,241487
Logan,WA,181651
Logan,OH,199711
Yakima,OH,133191
Spokane Valley,DE,49262
Dover,VA,101539
Cheyenne,MO,44654
Spartanburg,DE,38576
Auburn,AK,25296
Normal,AR,53851
Idaho Falls,NY,219459
Meridian,SC,154133
Hendersonville,DE,47308
Monroe,SC,157381
Idaho Falls,NJ,36789
Ithaca,RI,33760
Spokane Valley,IN,20387
Midland,CO,68078
Burlington,CO,104057
Stevens Point,TX,59827
Naperville,NY,247331
Helena,OH,141956
Ruston,ID,185794
Kingsport,NE,84882
Santa Fe,MD,236332
Peoria,SC,98543
Burlington,IN,39105
Tifton,AK,154065
Tifton,NV,147709
Normal,NE,247586
Helena,VT,30752
Flagstaff,NY,112023
Greenville,IN,126226
Muskegon,WV,240349
Burlington,OK,66001
Flagstaff,LA,133238
Stevens Point,AL,213961
Fort Collins,CT,92945
Roanoke,KY,63785
Rockford,OR,148800
Joplin,ID,76589
Champaign,FL,178849
Idaho Falls,TX,180357
Tyler,OK,134401
Beaverton,PA,84370
Rapid City,PA,68192
Cheyenne,MD,168525
Kingsport,NE,202228
Sierra Vista,TX,163933
Yakima,RI,67021
Sioux Falls,MN,128319
Tupelo,WY,69137
Stillwater,MI,69794
Muskegon,ND,56427
Grand Junction,IA,61993
Hot Springs,NV,227851
Texarkana,UT,121272
Monroe,NM,103540
Naperville,MO,136920
Santa Fe,WA,178833
Lewiston,NV,245232
Hattiesburg,MO,242141
Watertown,GA,128862
Cedar Rapids,WY,180048
Killeen,TN,20293
Laramie,TX,179496
Greenville,AZ,201143
Casper,UT,138222
Brookings,ME,164686
Owensboro,KY,209866
Pensacola,WY,43622
Clarksville,RI,197531
Auburn,KS,82026
Olympia,ID,30351
Hot Springs,VA,213539
Pocatello,WI,125516
Lubbock,WV,159542
Grand Junction,NH,88381
Casper,PA,190620
Bismarck,MT,205320
Cedar Rapids,FL,69036
Knoxville,TX,179535
Rockford,ME,26370
Waco,AZ,75893
Ithaca,ND,133785
Sumter,IN,118141
Missoula,NM,155811
Kingsport,NE,90599
Grand Junction,OH,69613
Sioux Falls,TN,122838
Fargo,DE,247871
Knoxville,MN,214626
Valdosta,AR,168176
Pocatello,NM,242155
Staunton,DE,126380
Flagstaff,RI,76053
Sumter,IA,140589
Sheboygan,NJ,86464
Juneau,OK,200134
Clarksville,SC,44983
Auburn,NH,84888
Lafayette,LA,121302
Yuma,MO,160762
Casper,NC,112905
Nampa,KS,245728
Pierre,CA,161265
Hendersonville,SD,20329
Muskegon,NE,212432
Texarkana,MD,54186
Tupelo,ID,223651
Ithaca,IA,146839
Florence,WA,118549
Eugene,ME,95324
Valdosta,WY,204077
Lynchburg,MI,140936
Watertown,NY,74814
Sierra Vista,GA,128847
Casper,WA,178299
Charlottesville,MO,57627
Watertown,UT,215025
Juneau,RI,212857
Rapid City,MS,135833
Yuma,AR,88420
Santa Fe,AZ,141197
Kingsport,TN,174707
Cheyenne,MS,88998
Decatur,OK,177754
Olympia,SD,190117
Bozeman,OR,29291
Lake Havasu,MA,160518
Newnan,KS,36695
San Marcos,MT,166596
Lynchburg,OR,138907
Flagstaff,MD,159224
Medford,AR,74737
Naperville,NJ,166091
Tifton,MS,181076
Rockford,WY,98026
Macon,DE,71484
Valdosta,HI,83607
Hendersonville,OR,173434
Peoria,MS,189536
Pierre,PA,104676
Rapid City,CA,205110
Salem,AK,145552
Beaverton,NM,61511
Stillwater,ME,25780
Sierra Vista,HI,146424
Tupelo,AL,235474
Stillwater,NY,212743
Hot Springs,AL,151736
Kennewick,WY,79486
Cedar Rapids,TN,120456
San Marcos,AL,107564
Troy,MO,168547
Billings,UT,97637
Santa Fe,HI,138062
Roanoke,ME,161527
Coeur d'Alene,KY,216223
Decatur,NE,146061
Champaign,HI,196583
Naperville,MA,130777
Santa Fe,MN,183302
Bozeman,WA,203989
Laramie,OR,94432
Killeen,NY,209746
Owensboro,VT,28952
Knoxville,VA,229512
Dover,NH,230418
Flagstaff,AK,149985
Sierra Vista,TN,90054
Meridian,KY,248395
Charlottesville,OH,199493
Rockford,UT,237111
Rockford,WV,224405
Nampa,TN,232818
Ithaca,IA,164256
Sierra Vista,NC,219665
Macon,DE,147777
Pierre,MO,174409
Logan,VA,80918
Hattiesburg,MN,243870
Burlington,UT,85952
Clarksville,MD,121647
Stillwater,OH,174136
Wenatchee,ID,121949
Stillwater,WY,114237
Cedar Rapids,HI,113281
Watertown,VA,226620
Hot Springs,ME,23635
Meridian,ND,123961
Staunton,SC,116578
Reno,VT,127249
Coeur d'Alene,MD,52007
Macon,KY,71623
Lubbock,PA,180801
Greenville,IA,25662
Tifton,ID,61363
Muskegon,MT,86511
Spartanburg,RI,115574
Rapid City,IL,194515
Florence,WA,186660
Fargo,NV,234427
Auburn,DE,103372
Monroe,TX,100083
Lubbock,OK,81741
Burlington,IN,42234
Vicksburg,MS,106220
Muskegon,AR,75377
Kennewick,IL,118669
Hattiesburg,NH,185670
Ruston,LA,127785
Savannah,TN,223538
Normal,TN,194870
Medford,CA,43642
Bozeman,OR,217540
Lake Havasu,MD,188444
Rockford,CA,47098
Cedar Rapids,WA,129451
Fargo,VA,55711
Eugene,DE,121055
Watertown,ID,222218
Knoxville,TX,202752
Bismarck,FL,246089
Sioux Falls,NJ,232209
Roanoke,VT,175736
Midland,WI,224695
Lewiston,WV,32685
Hattiesburg,HI,236819
Fargo,CO,114464
Wenatchee,ID,172637
Billings,GA,76000
Watertown,TX,190045
Peoria,ID,70041
Pierre,NV,236658
Rapid City,NJ,90831
Cheyenne,MS,178102
Normal,CA,21364
Champaign,IL,104088
Stillwater,IL,224710
Joplin,KS,170850
Paducah,TN,97992
Stevens Point,MT,54337
Joplin,MA,88409
Tyler,VA,121294
Vicksburg,MS,35736
Flagstaff,MS,96088
Brookings,MA,231486
Watertown,IA,225955
Reno,NM,102423
St. Cloud,HI,163799
Casper,KY,164055
Owensboro,WY,235882
Hot Springs,TX,32453
Laramie,NM,206062
Olympia,AL,152009
Pierre,CO,189325
Holland,ME,126026
Savannah,LA,112152
Spokane Valley,MN,171693
Sierra Vista,ID,138837
Salem,FL,113355
Champaign,OK,120021
Lynchburg,NH,174476
Bozeman,MI,155082
Missoula,MN,38501
Fort Collins,TN,207913
Beaverton,VA,42337
Meridian,OR,202443
Hot Springs,CO,96976
Cedar Rapids,NV,62330
Fargo,CO,234162
Pocatello,VT,206907
Medford,SD,23674
Nampa,MA,107008
Auburn,TN,39486
Bend,IN,49355
Tupelo,DE,39769
Dover,MI,30564
Decatur,WI,187203
Watertown,WI,191522
Cedar Rapids,MS,210190
Beaverton,VA,159104
Owensboro,MA,164656
Laramie,NE,114672
Waipahu,WV,116618
Lake Havasu,VA,214338
Lafayette,NM,40229
Flagstaff,NH,163663
Champaign,PA,142389
Laramie,IN,116928
Pocatello,PA,175694
Paducah,VT,67592
Naperville,SD,128951
Logan,KY,46241
Logan,NC,129934
Roanoke,NY,105750
Lynchburg,MS,166283
Redding,WV,214323
Hot Springs,FL,109508
Midland,UT,158355
Macon,IA,27654
Fargo,TN,245798
San Marcos,TX,94094
Meridian,MI,54052
Lafayette,HI,104350
Helena,MN,232821
Champaign,RI,170250
Tyler,AL,31398
Logan,ID,149655
Florence,MA,126038
Tifton,MS,211188
Waco,MS,37657
Knoxville,WI,86562
Ruston,WY,117248
Lake Havasu,GA,143900
Tyler,ID,59880
Hattiesburg,MO,217148
Conway,AK,106345
Hot Springs,MS,167512
Eugene,VA,204375
Killeen,ME,166647
Sierra Vista,OK,113177
Cedar Rapids,RI,23069
Idaho Falls,KY,222045
Normal,KY,198111
Naperville,HI,245681
Redding,IA,180973
Lake Havasu,WI,90486
Laramie,TX,150565
Stevens Point,HI,174696
Sumter,OK,96149
Spokane Valley,CA,74700
Lynchburg,SC,147615
Rochester,MD,168892
Reno,NY,207121
Gainesville,PA,189018
Grand Junction,ME,118407
Stillwater,ID,34149
Muskegon,ID,22551
Juneau,AK,88715
Naperville,KS,145133
Bozeman,VA,239350
Logan,MN,93259
Brookings,IN,220422
Spokane Valley,MD,169324
Texarkana,OH,57728
Stillwater,LA,190946
Logan,MS,169776
Lafayette,GA,198930
Casper,SC,180544
Lafayette,OK,110203
Santa Fe,NC,231670
Knoxville,MI,221205
Conway,LA,244781
Gainesville,VT,157013
Cedar Rapids,MD,36710
Cedar Rapids,OH,88232
Pierre,TN,241477
Sioux Falls,HI,169261
Helena,SD,240379
Hendersonville,NM,30353
Staunton,AL,230742
Spokane Valley,WI,196058
Florence,NC,166252
Lubbock,MO,84798
Bozeman,OR,154643
Charlottesville,VT,53188
Peoria,SD,199680
Killeen,SC,213052
Salem,KY,41574
Savannah,CO,187631
Ruston,NJ,201581
Joplin,MD,35101
Idaho Falls,CT,23508
Helena,TX,95719
Florence,NC,84930
Rochester,TN,32446
Watertown,WV,83981
Champaign,RI,194749
Hendersonville,NY,113552
Springfield,CO,87590
Pocatello,AK,61759
Bismarck,WI,77364
Meridian,KY,239704
Spartanburg,LA,67527
Lynchburg,MD,144654
Sumter,NJ,134267
Medford,MA,201417
Rochester,ND,115509
Sioux Falls,SD,227367
Conway,NY,78867
Auburn,KY,138268
Decatur,NC,123146
Idaho Falls,WI,86808
Florence,WV,198110
Texarkana,AZ,154823
Greenville,IN,132130
Spokane Valley,HI,103196
Logan,UT,73803
Roanoke,VT,150567
Staunton,MO,149744
Eugene,TX,215784
Medford,NY,45233
Sioux Falls,IA,226212
Midland,AZ,174176
Lake Havasu,NH,194701
Missoula,WV,79884
Kalamazoo,NM,99492
Valdosta,NM,233379
Auburn,NE,67295
Waco,IA,67108
Grand Junction,TX,172352
Bismarck,CT,211387
Brookings,SC,96177
Tifton,MT,32652
Logan,HI,145687
Fort Collins,TN,42294
Tifton,IN,209641
Olympia,AR,167277
Savannah,MI,174172
Meridian,CT,225279
Bozeman,CA,69925
Missoula,WA,30920
Flagstaff,CT,142300
Sheboygan,WY,151327
Muskegon,MN,88589
Wenatchee,AR,92424
Juneau,MD,128181
Nampa,MD,218425
Bend,RI,233524
Valdosta,IN,67150
Champaign,NV,104500
Killeen,SC,107275
Troy,MT,145712
Stevens Point,WV,142173
Redding,NM,188486
Lubbock,AL,207756
Pensacola,LA,113744
Idaho Falls,CO,160723
Roanoke,OH,168060
Joplin,NJ,199039
Decatur,IN,165135
Cheyenne,VA,216103
Troy,NE,122874
Lake Havasu,TN,165753
Lake Havasu,CT,239326
Midland,DE,107079
Lynchburg,WA,249738
St. Cloud,NJ,211219
Midland,TX,238914
Casper,WI,193637
Staunton,NE,179962
Champaign,KS,177298
Hendersonville,DE,53315
Waipahu,TX,248159
Lewiston,CT,102420
Lubbock,UT,135006
Logan,NM,165741
Rochester,NC,236785
Troy,AK,91573
Florence,DE,128656
Flagstaff,CO,111203
Troy,VA,247869
Kennewick,WA,182807
Helena,OR,170056
Cheyenne,DE,146488
Killeen,NH,30896
Vicksburg,OK,110434
Meridian,MA,183625
Fort Collins,ME,138563
Fargo,MT,149779
Peoria,NJ,93870
Waco,MS,212204
Dover,WI,121374
Pierre,DE,95581
Laramie,NV,239543
Conway,CT,224712
Brookings,OH,74431
Casper,SD,96254
Logan,ID,135371
Helena,AK,78845
Florence,MO,127527
Hendersonville,FL,186954
Springfield,OK,190480
Naperville,NJ,186266
Roanoke,NC,31074
Champaign,FL,79500
Meridian,VA,22895
Florence,VA,150191
Idaho Falls,NV,188670
Newnan,LA,64906
Knoxville,LA,165617
Champaign,IN,165848
Juneau,NJ,53615
Tupelo,FL,52962
Flagstaff,OK,170339
Lafayette,TX,51729
Lewiston,NH,130527
Lynchburg,MO,141769
Champaign,TN,120568
Bend,IA,98132
Rapid City,WI,219341
Springfield,MO,125227
Billings,WA,169520
Peoria,OH,32987
Lubbock,RI,207755
Wenatchee,MO,28050
Sioux Falls,MT,246060
Salem,RI,105154
Burlington,SD,81421
Lynchburg,AZ,132825
Savannah,NV,222754
Yuma,AR,233435
Coeur d'Alene,MT,164636
Billings,NM,181101
Beaverton,IN,115815
Lewiston,MS,79694
Pocatello,CA,180638
Conway,CA,141170
Brookings,FL,48019
Rochester,ND,82886
Hot Springs,MS,107858
Florence,MI,164191
Sioux Falls,AK,111645
Greenville,UT,224633
Stevens Point,GA,236124
Waco,CT,101675
Greenville,AL,211780
Cheyenne,KY,23643
Newnan,AR,94394
Ithaca,ND,113256
Conway,TN,249473
Stillwater,SD,123294
Auburn,IL,87776
Nampa,WY,140051
Killeen,MI,73262
Rockford,MA,96192
Auburn,MO,192240
Monroe,ID,153515
San Marcos,AZ,87327
Missoula,TN,40728
Staunton,KY,191419
Tupelo,HI,154454
San Marcos,SC,144076
Gainesville,KY,20557
Hattiesburg,ID,163378
Holland,MN,89745
Troy,ND,61291
Sumter,NE,152883
Laramie,VT,235110
Olympia,TX,199976
Beaverton,NC,117760
Paducah,IL,129147
Ruston,ID,160275
Owensboro,CA,217780
Pierre,KY,60608
Tyler,MA,164667
Lynchburg,AK,131846
Macon,KS,158404
Wenatchee,KS,204090
Fort Collins,IA,87920
Logan,OR,233964
Lynchburg,NJ,222728
Lubbock,OR,109888
Peoria,HI,81002
Cedar Rapids,OH,238913
Springfield,TN,165883
Tupelo,HI,115585
Lake Havasu,LA,86650
Reno,NC,246521
Cedar Rapids,NC,74581
Savannah,OK,112325
Olympia,IL,72146
Peoria,FL,157094
Pensacola,RI,20615
Burlington,WV,203421
Tyler,CO,100186
Bend,WY,246632
San Marcos,GA,154326
Lewiston,CT,126046
Spartanburg,OK,162550
Santa Fe,DE,65325
Savannah,ND,190412
Tifton,SC,204369
Valdosta,WA,146719
Peoria,NC,138608
Charlottesville,DE,111469
Rockford,MA,135747
Stevens Point,HI,195629
Kalamazoo,NJ,22951
Santa Fe,VA,58432
Spartanburg,MI,194603
Kingsport,CO,121450
Yuma,CA,56622
Valdosta,NM,242470
Decatur,GA,145662
Vicksburg,DE,82743
Ruston,AK,34267
Nampa,NE,228961
Juneau,PA,55693
Brookings,VA,107689
Joplin,NE,230841
Kennewick,VT,34879
Spokane Valley,GA,229901
Meridian,ID,48726
Tupelo,WA,212126
Rockford,NV,112462
Burlington,WI,228118
Burlington,NV,117747
Tifton,WV,142959
Fargo,NJ,183927
Champaign,NM,102115
Waco,MN,26971
Paducah,WV,240057
Cheyenne,CO,91451
Stillwater,OR,225264
Kingsport,UT,82539
Juneau,VT,201783
Salem,LA,177933
Roanoke,NY,149314
Paducah,ME,173114
Champaign,CA,78122
